Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
25734,Text,2008-06-09,Correspondance de Voltaire avec le roi de Prusse,fr,"Voltaire, 1694-1778; Frederick II, King of Prussia, 1712-1786; Pompery, Edouard de, 1812-1895 [Commentator]","Frederick II, King of Prussia, 1712-1786 -- Correspondence; Voltaire, 1694-1778. Correspondence; Authors, French -- 18th century -- Correspondence; Prussia (Germany) -- Kings and rulers -- Correspondence",DD; PQ,"FR Biographie, Mémoires, Journal intime, Correspondance; Browsing: Biographies; Browsing: History - European; Browsing: Religion/Spirituality/Paranormal; Category: Essays, Letters & Speeches; Category: French Literature; Category: History - European"
26710,Text,2008-09-27,Les épaves de Charles Baudelaire,fr,"Baudelaire, Charles, 1821-1867; Poulet-Malassis, Auguste, 1825-1878 [Editor]; Rops, Félicien, 1833-1898 [Illustrator]",French poetry -- 19th century,PQ,FR Poésie; Banned Books from Anne Haight's list; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry; Category: Poetry; Category: French Literature
28602,Text,2009-04-25,Ceci n'est pas un conte,fr,"Diderot, Denis, 1713-1784; Assézat, Jules, 1832-1876 [Editor]","Short stories, French; French fiction -- 18th century",PQ,FR Nouvelles; Browsing: Language & Communication; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
28603,Text,2009-04-25,Les deux amis de Bourbonne,fr,"Diderot, Denis, 1713-1784; Assézat, Jules, 1832-1876 [Editor]","Short stories, French; French fiction -- 18th century",PQ,FR Nouvelles; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
28604,Text,2009-04-25,Entretien d'un père avec ses enfants,fr,"Diderot, Denis, 1713-1784; Assézat, Jules, 1832-1876 [Editor]","Short stories, French; French fiction -- 18th century",PQ,"FR Philosophie, Religion et Morale; FR Nouvelles; Browsing: Literature; Browsing: Philosophy & Ethics; Browsing: Fiction; Category: French Literature; Category: Philosophy & Ethics"
28605,Text,2009-04-25,L'oiseau blanc: conte bleu,fr,"Diderot, Denis, 1713-1784; Assézat, Jules, 1832-1876 [Editor]",French fiction -- 18th century,PQ,FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Science-Fiction & Fantasy; Category: Novels; Category: French Literature
28827,Text,2009-05-15,La religieuse,fr,"Diderot, Denis, 1713-1784; Assézat, Jules, 1832-1876 [Editor]",France -- Social life and customs -- Fiction; Nuns -- Fiction; Convents -- Fiction,PQ,"FR Philosophie, Religion et Morale; FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Philosophy & Ethics; Browsing: Fiction; Category: Novels; Category: French Literature"
30587,Text,2009-12-02,La Femme de Paul,fr,"Maupassant, Guy de, 1850-1893",French fiction -- 19th century,PQ,FR Nouvelles; Browsing: History - European; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
36528,Text,2011-06-26,Monsieur Vénus,fr,"Rachilde, 1860-1953",Sex role -- Fiction; Social classes -- Fiction; Man-woman relationships -- Fiction; French fiction,PQ,FR Séduction et libertinage; Browsing: Culture/Civilization/Society; Browsing: Gender & Sexuality Studies; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature; Category: Gender & Sexuality Studies; Category: Sexuality & Erotica
37491,Text,2011-09-20,Les bijoux indiscrets,fr,"Diderot, Denis, 1713-1784","Erotic fiction; Louis XV, King of France, 1710-1774 -- Fiction",PQ,FR Séduction et libertinage; Browsing: Literature; Browsing: Sexuality & Erotica; Browsing: Fiction; Category: Humour; Category: Novels; Category: French Literature; Category: Sexuality & Erotica
39976,Text,2012-06-12,Jacques le fataliste et son maître,fr,"Diderot, Denis, 1713-1784; Assézat, Jules, 1832-1876 [Editor]",Fate and fatalism -- Fiction; Storytelling -- Fiction; Valets -- Fiction; French fiction -- 18th century; Free will and determinism -- Fiction,PQ,Best Books Ever Listings; FR Littérature; FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
42131,Text,2013-02-19,Traité sur la tolérance,fr,"Voltaire, 1694-1778","Calas, Jean, 1698-1762; Religious tolerance; Toleration -- Philosophy",B,"FR Philosophie, Religion et Morale; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal; Category: French Literature; Category: History - Early Modern (c. 1450-1750); Category: Philosophy & Ethics; Category: Religion/Spirituality"
45119,Text,2014-03-12,Œuvres complètes de Guy de Maupassant - volume 01,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; FR Nouvelles; Browsing: History - General; Browsing: Literature; Category: Short Stories; Category: Biographies; Category: French Literature
45312,Text,2014-04-03,Œuvres complètes de Guy de Maupassant - volume 02,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,"FR Poésie; FR Littérature; Browsing: History - British; Browsing: Literature; Browsing: Poetry; Category: Poetry; Category: Essays, Letters & Speeches; Category: French Literature"
46387,Text,2014-07-24,Œuvres complètes de Guy de Maupassant - volume 03,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: Classics of Literature; Category: French Literature
46470,Text,2014-08-01,Œuvres complètes de Guy de Maupassant - volume 04,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
48830,Text,2015-04-30,Le Démon de l'Absurde,fr,"Rachilde, 1860-1953; Schwob, Marcel, 1867-1905 [Commentator]","Short stories, French; French fiction -- 19th century",PQ,FR Nouvelles; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
49783,Text,2015-08-25,La Marquise de Sade,fr,"Rachilde, 1860-1953",French fiction -- 19th century,PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Novels; Category: French Literature
50144,Text,2015-10-06,Œuvres complètes de Guy de Maupassant - volume 05,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; Browsing: History - European; Browsing: Literature; Category: Romance; Category: Novels; Category: French Literature
50340,Text,2015-10-30,Elémens de la philosophie de Neuton: Mis à la portée de tout le monde,fr,"Voltaire, 1694-1778; Du Châtelet, Gabrielle Emilie Le Tonnelier de Breteuil, marquise, 1706-1749 [Contributor]","Mathematics -- Early works to 1800; Science -- Early works to 1800; Physics -- Early works to 1800; Newton, Isaac, Sir, 1642-1727",QA; QC,FR Sciences et Techniques; Browsing: Mathematics; Browsing: Science - Physics; Browsing: Science - General; Category: French Literature; Category: Science - Physics; Category: Philosophy & Ethics
50605,Text,2015-12-04,Lettres à Mademoiselle de Volland,fr,"Diderot, Denis, 1713-1784","Authors, French -- 18th century -- Correspondence; Diderot, Denis, 1713-1784 -- Correspondence; Volland, Sophie, 1716-1784 -- Correspondence",PQ,"FR Biographie, Mémoires, Journal intime, Correspondance; Browsing: Biographies; Browsing: Literature; Category: Essays, Letters & Speeches; Category: French Literature"
51266,Text,2016-02-22,Œuvres complètes de Guy de Maupassant - volume 06,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; FR Nouvelles; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
51423,Text,2016-03-11,Œuvres complètes de Guy de Maupassant - volume 07,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; FR Nouvelles; Browsing: History - European; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
52753,Text,2016-08-08,Œuvres complètes de Guy de Maupassant - volume 08,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; Browsing: History - European; Browsing: Literature; Category: Short Stories; Category: Novels; Category: French Literature
53247,Text,2016-10-10,Œuvres complètes de Guy de Maupassant - volume 09,fr,"Maupassant, Guy de, 1850-1893",French literature -- 19th century,PQ,FR Littérature; FR Nouvelles; Browsing: Literature; Browsing: Fiction; Category: Short Stories; Category: French Literature
54456,Text,2017-03-29,De l'amour,fr,"Baudelaire, Charles, 1821-1867; Gautier, Félix-François [Editor]","Love; Women in literature; Baudelaire, Charles, 1821-1867; Love in literature",PQ,"FR Biographie, Mémoires, Journal intime, Correspondance; FR Littérature; Browsing: Gender & Sexuality Studies; Browsing: Literature; Category: Biographies; Category: French Literature"
